,Payment Method,Minutes range,Payments,Paying users,Disputing users
314,General,48,40.205999999999996,26165,738
315,General,48,41.47,25651,734
316,General,48,42.089999999999996,25204,729
317,General,48,43.00000000000001,24751,718
318,General,48,44.89920000000001,24301,709
319,General,48,46.5,23881,703
320,General,48,46.8,23557,700
321,General,48,47.0,23135,691
322,General,48,47.12,22501,682
323,General,48,47.5,22154,676
324,General,48,48.684,21606,657
325,General,48,50.17,21151,650
326,General,48,51.41,20714,644
327,General,48,52.682399999999994,20251,639
328,General,48,55.078,19804,631
329,General,48,56.120000000000005,19352,623
330,General,48,56.32,18933,619
331,General,48,57.062,18458,616
332,General,48,59.38,18003,604
333,General,48,60.971999999999994,17551,595
334,General,48,63.920000000000016,17101,585
335,General,48,65.64,16656,571
336,General,48,66.153,16208,565
337,General,48,68.466,15756,560
338,General,48,70.5,15305,549
339,General,48,74.33,14851,543
340,General,48,75.28,14426,533
341,General,48,78.72800000000001,13951,528
342,General,48,82.10669999999996,13501,518
343,General,48,84.47999999999999,13138,507
344,General,48,86.90599999999999,12603,494
345,General,48,90.33000000000001,12151,478
346,General,48,94.0,11711,467
347,General,48,94.4,11254,453
348,General,48,96.126,10802,441
349,General,48,99.23999999999998,10351,427
350,General,48,103.32,9918,412
351,General,48,108.13,9451,400
352,General,48,112.83999999999999,9006,390
353,General,48,117.14999999999999,8551,373
354,General,48,122.702,8101,360
355,General,48,131.07999999999998,7655,346
356,General,48,137.57999999999998,7201,341
357,General,48,142.815,6756,332
358,General,48,151.477,6301,316
359,General,48,161.62,5852,304
360,General,48,174.05,5404,292
361,General,48,188.04999999999998,4951,272
362,General,48,196.12,4501,255
363,General,48,211.69,4051,240
364,General,48,235.778636,3601,225
365,General,48,260.576,3151,205
366,General,48,285.9,2708,194
367,General,48,329.2,2254,170
368,General,48,379.126,1801,145
369,General,48,458.88658,1351,114
370,General,48,572.9141000000001,901,86
371,General,48,893.0720000000005,451,48
372,General,48,25984.609999999877,1,1
936,checkout_apple_pay,48,20.024,27671,531
937,checkout_apple_pay,48,20.424,27458,526
938,checkout_apple_pay,48,20.82052,27117,522
939,checkout_apple_pay,48,21.35658,26849,521
940,checkout_apple_pay,48,21.401699999999998,26585,519
941,checkout_apple_pay,48,21.465999999999998,26551,519
942,checkout_apple_pay,48,22.107999999999997,26013,515
943,checkout_apple_pay,48,22.407999999999998,25745,513
944,checkout_apple_pay,48,23.15,25530,507
945,checkout_apple_pay,48,23.25,25323,503
946,checkout_apple_pay,48,23.349999999999998,24758,497
947,checkout_apple_pay,48,23.35,24438,497
948,checkout_apple_pay,48,23.6525,24075,491
