Segment,Matuirity,Condition 1,Condition 2,Condition 3,Condition 4,Condition 5,Disputer rate,Payers,Disputers,Payers_covered,Payers_covered_to_point,Disputes_covered,Disputes_covered_to_point
maturity_day > 14 & paying_matuirity > 14 & payments > 1,56.0,spent_to_date > 1243.495,daily_games_first_14d > 453.685,minutes_to_pay_since_first_game > 8552.5,,,0.08421052631578947,95.0,8.0,2.7478900543156627e-05,0.0053,0.0006,0.164
maturity_day > 14 & paying_matuirity > 14 & payments > 1,54.0,max_daily_spent > 85.495,win_amount_to_date > 13119.225,daily_games_first_1d > 699.585,daily_games_first_1d ≤ 910.64,,0.08411214953271028,107.0,9.0,3.094991955913431e-05,0.0053,0.00068,0.164
maturity_day > 14 & paying_matuirity > 14 & payments > 1,41.0,payments_last_14d > 2.5,win_amount_last_14d > 1460.505,max_daily_spent ≤ 730.995,spent_last_14d ≤ 1729.5,payments_to_date > 196.0,0.08403361344537816,119.0,10.0,3.4420938575111985e-05,0.0053,0.00076,0.165
maturity_day > 14 & paying_matuirity > 14 & payments > 1,43.0,win_amount_last_14d > 268.68,max_daily_spent ≤ 719.995,payments_to_date > 198.5,spent_to_date ≤ 2768.98,,0.08333333333333333,108.0,9.0,3.1239171143799114e-05,0.0054,0.00068,0.166
maturity_day < 14 & payments > 1,2.0,spent_last_14d ≤ 247.485,daily_games_first_14d > 631.48,daily_games_first_1d ≤ 1185.75,daily_games_first_14d > 1183.465,minutes_to_payment > 2.5,0.08280254777070063,314.0,26.0,9.082499758474927e-05,0.0054,0.00196,0.168
maturity_day > 14 & paying_matuirity > 14 & payments > 1,76.0,max_daily_spent > 399.995,max_games_daily_games > 4784.0,payments_last_14d > 63.5,,,0.08264462809917356,121.0,10.0,3.49994417444416e-05,0.0055,0.00076,0.169
maturity_day > 14 & paying_matuirity > 14 & payments > 1,37.0,payments_last_14d > 16.5,spent_last_14d ≤ 3341.0,payments_last_7d > 36.5,spent_last_7d ≤ 1162.49,money_games_last_7d ≤ 7979.5,0.08196721311475409,183.0,15.0,5.2933039993659605e-05,0.0055,0.00113,0.17
maturity_day > 14 & paying_matuirity < 14 & payments > 1,15.0,payments_last_14d > 18.5,max_daily_spent ≤ 308.5,spent_last_14d ≤ 485.49,daily_games_first_14d > 818.875,,0.08088235294117647,136.0,11.0,3.93382155144137e-05,0.0056,0.00083,0.171
maturity_day < 14 & payments > 1,13.0,payments_last_7d ≤ 5.5,max_daily_spent > 288.0,local_time_after_18 > 166.0,daily_games_first_1d ≤ 1077.585,,0.07964601769911504,113.0,9.0,3.268542906712314e-05,0.0056,0.00068,0.171
maturity_day > 14 & paying_matuirity > 14 & payments > 1,73.0,spent_to_date > 1056.995,max_games_daily_games > 4784.0,max_daily_spent > 322.5,payments_last_14d > 67.5,,0.07913669064748201,139.0,11.0,4.020597026840812e-05,0.0056,0.00083,0.172
maturity_day > 14 & paying_matuirity > 14 & payments > 1,84.0,payments_to_date > 41.5,win_amount_to_date > 34655.42,local_time_6_to_12 > 35223.0,,,0.07874015748031496,127.0,10.0,3.6734951252430434e-05,0.0057,0.00076,0.173
maturity_day < 14 & payments > 1,3.0,max_daily_spent ≤ 154.995,daily_games_first_14d > 630.645,daily_games_first_1d ≤ 633.5,bet_money_to_date > 54.6,minutes_to_pay_since_first_game > 6.5,0.07874015748031496,254.0,20.0,7.346990250486087e-05,0.0058,0.00151,0.174
